epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,759.6,1.12946,0.79563,1.29996,0.92161,0.90543,0.9452,0.61901,1.2092,0.64959,1.34778,0.0005941,0.0005941,0.0005941
43,777.775,1.12685,0.7772,1.29196,0.93319,0.90237,0.9506,0.63162,1.21273,0.61694,1.34571,0.0005842,0.0005842,0.0005842
44,796.034,1.10994,0.77819,1.29107,0.92795,0.90115,0.94471,0.62237,1.22595,0.63641,1.35095,0.0005743,0.0005743,0.0005743
45,814.101,1.11695,0.76605,1.29338,0.92562,0.90675,0.94771,0.63288,1.1877,0.62189,1.32972,0.0005644,0.0005644,0.0005644
46,832.313,1.10694,0.77265,1.28811,0.92541,0.90237,0.94679,0.63064,1.1937,0.61875,1.33934,0.0005545,0.0005545,0.0005545
47,850.02,1.10097,0.75512,1.28203,0.92179,0.90856,0.95286,0.63663,1.19154,0.6142,1.33003,0.0005446,0.0005446,0.0005446
48,868.152,1.09899,0.74964,1.27332,0.93231,0.90912,0.95187,0.63173,1.19641,0.60444,1.32937,0.0005347,0.0005347,0.0005347
49,886.322,1.10386,0.7483,1.27918,0.92161,0.90733,0.94853,0.6294,1.20747,0.614,1.34089,0.0005248,0.0005248,0.0005248
50,904.353,1.0774,0.73672,1.26758,0.92302,0.91713,0.95114,0.63552,1.1993,0.60036,1.33395,0.0005149,0.0005149,0.0005149
51,922.207,1.07857,0.73557,1.26601,0.92893,0.90907,0.95067,0.63761,1.19405,0.60132,1.33362,0.000505,0.000505,0.000505
52,940.635,1.08086,0.73996,1.26612,0.9261,0.91081,0.95295,0.64229,1.18297,0.58264,1.32263,0.0004951,0.0004951,0.0004951
53,958.993,1.07338,0.72899,1.26218,0.93485,0.89495,0.94878,0.63364,1.1913,0.60427,1.32594,0.0004852,0.0004852,0.0004852
54,977.077,1.07139,0.72193,1.2532,0.93018,0.91384,0.95259,0.63756,1.19044,0.59485,1.31858,0.0004753,0.0004753,0.0004753
55,995.369,1.06286,0.7144,1.25658,0.92737,0.91376,0.95109,0.63368,1.19014,0.5939,1.32771,0.0004654,0.0004654,0.0004654
56,1013.18,1.0521,0.70261,1.24785,0.92768,0.91307,0.95434,0.64174,1.18703,0.58291,1.31708,0.0004555,0.0004555,0.0004555
57,1031.54,1.0519,0.69972,1.24502,0.9198,0.90003,0.95314,0.64411,1.17885,0.59254,1.31879,0.0004456,0.0004456,0.0004456
58,1050.09,1.04254,0.70008,1.24926,0.93183,0.90966,0.95335,0.64384,1.18926,0.58177,1.31559,0.0004357,0.0004357,0.0004357
59,1066.69,1.03869,0.7006,1.24405,0.93081,0.9086,0.95581,0.64345,1.19052,0.57139,1.31956,0.0004258,0.0004258,0.0004258
60,1084.35,1.03645,0.69507,1.24374,0.93753,0.90566,0.95009,0.63789,1.18128,0.58171,1.31793,0.0004159,0.0004159,0.0004159
61,1102.42,1.03195,0.69055,1.24097,0.92872,0.92561,0.95788,0.64277,1.18831,0.56904,1.3198,0.000406,0.000406,0.000406
62,1120.6,1.03309,0.68403,1.23595,0.93371,0.91437,0.95095,0.64265,1.1845,0.57174,1.31243,0.0003961,0.0003961,0.0003961
63,1138.96,1.02223,0.6788,1.22713,0.93393,0.91336,0.95598,0.64189,1.17788,0.56841,1.31114,0.0003862,0.0003862,0.0003862
64,1157.28,1.02767,0.67907,1.23429,0.94172,0.91593,0.95468,0.64087,1.17517,0.56541,1.30331,0.0003763,0.0003763,0.0003763
65,1175.77,1.02361,0.66352,1.22063,0.93231,0.91527,0.95435,0.64912,1.15666,0.56439,1.29302,0.0003664,0.0003664,0.0003664
66,1194.07,1.01671,0.6696,1.22841,0.92839,0.92041,0.9511,0.64536,1.16131,0.56567,1.29355,0.0003565,0.0003565,0.0003565
67,1212.01,1.02526,0.66831,1.22196,0.93414,0.9208,0.95345,0.64654,1.17788,0.56785,1.30096,0.0003466,0.0003466,0.0003466
68,1230.22,1.0126,0.66491,1.21989,0.91204,0.92677,0.95192,0.64344,1.1667,0.56688,1.29179,0.0003367,0.0003367,0.0003367
69,1248.32,0.99222,0.65044,1.21117,0.93663,0.92026,0.9548,0.65148,1.17188,0.55718,1.298,0.0003268,0.0003268,0.0003268
70,1266.36,1.00358,0.65609,1.21262,0.93775,0.90868,0.95137,0.64756,1.15354,0.55856,1.2866,0.0003169,0.0003169,0.0003169
