epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3989,1.53888,3.09146,1.66551,0.49206,0.51155,0.47,0.20847,1.72061,2.20379,1.90682,0.000331512,0.000331512,0.000331512
2,51.8035,1.59379,2.28774,1.68615,0.54167,0.51762,0.51942,0.25451,1.6877,2.11498,1.82186,0.000658263,0.000658263,0.000658263
3,76.5626,1.58527,1.99898,1.67192,0.47521,0.41037,0.38293,0.17964,1.84218,2.57953,2.03977,0.000978415,0.000978415,0.000978415
4,101.014,1.5813,1.91263,1.68237,0.57716,0.51838,0.52335,0.26667,1.62566,1.90255,1.81348,0.0009703,0.0009703,0.0009703
5,126.019,1.52355,1.70041,1.63514,0.6912,0.62321,0.68124,0.36922,1.53249,1.52934,1.69505,0.0009604,0.0009604,0.0009604
6,150.991,1.49901,1.56121,1.60403,0.76564,0.69915,0.76115,0.42442,1.51589,1.30725,1.66403,0.0009505,0.0009505,0.0009505
7,175.88,1.45243,1.44157,1.56057,0.79394,0.72749,0.79829,0.45008,1.45066,1.21989,1.64051,0.0009406,0.0009406,0.0009406
8,200.97,1.43438,1.36837,1.55443,0.79439,0.7001,0.78234,0.43032,1.45832,1.25364,1.60295,0.0009307,0.0009307,0.0009307
9,225.029,1.39667,1.29818,1.53338,0.82714,0.80069,0.84627,0.49367,1.42199,1.02477,1.58426,0.0009208,0.0009208,0.0009208
10,249.672,1.40048,1.26883,1.53461,0.82289,0.76321,0.83062,0.47953,1.42468,1.03553,1.57097,0.0009109,0.0009109,0.0009109
11,273.755,1.36092,1.21838,1.50616,0.84146,0.79866,0.86822,0.52042,1.3736,0.95131,1.54543,0.000901,0.000901,0.000901
12,298.057,1.35549,1.16803,1.50103,0.88672,0.82429,0.89008,0.54079,1.32012,0.87989,1.51032,0.0008911,0.0008911,0.0008911
13,322.851,1.32355,1.12063,1.48029,0.83855,0.80589,0.86306,0.52082,1.36621,0.90756,1.53342,0.0008812,0.0008812,0.0008812
14,346.901,1.31564,1.0975,1.46856,0.84639,0.79105,0.85538,0.51707,1.33748,0.97002,1.51262,0.0008713,0.0008713,0.0008713
15,371.377,1.30954,1.0627,1.45759,0.86996,0.83877,0.89567,0.55042,1.33532,0.80466,1.50916,0.0008614,0.0008614,0.0008614
16,395.789,1.28669,1.04124,1.44639,0.86758,0.87234,0.90381,0.55669,1.33598,0.78148,1.47531,0.0008515,0.0008515,0.0008515
17,421.019,1.2868,1.01548,1.4393,0.88314,0.87683,0.91978,0.58347,1.25047,0.73988,1.41917,0.0008416,0.0008416,0.0008416
18,445.744,1.2719,0.99504,1.43095,0.89557,0.88137,0.90939,0.56339,1.29842,0.75003,1.45927,0.0008317,0.0008317,0.0008317
19,470.23,1.26996,0.99673,1.4355,0.895,0.86934,0.92002,0.59145,1.24727,0.72763,1.42956,0.0008218,0.0008218,0.0008218
20,494.728,1.2432,0.95432,1.41328,0.90314,0.86651,0.92878,0.59545,1.24287,0.71268,1.42973,0.0008119,0.0008119,0.0008119
21,519.463,1.24535,0.94912,1.41657,0.91491,0.85449,0.91059,0.58805,1.24325,0.71399,1.42405,0.000802,0.000802,0.000802
22,543.543,1.2236,0.91981,1.39899,0.90215,0.87541,0.92219,0.59034,1.26632,0.70453,1.43528,0.0007921,0.0007921,0.0007921
23,567.536,1.21304,0.89445,1.39904,0.90211,0.88989,0.93194,0.60689,1.21831,0.66563,1.39786,0.0007822,0.0007822,0.0007822
24,591.954,1.20321,0.89095,1.38683,0.90021,0.90513,0.93835,0.61112,1.22929,0.66007,1.41809,0.0007723,0.0007723,0.0007723
25,616.769,1.19566,0.87244,1.38381,0.91289,0.89612,0.93238,0.60356,1.25528,0.6536,1.44573,0.0007624,0.0007624,0.0007624
26,640.595,1.19558,0.86093,1.38569,0.91316,0.8954,0.94441,0.62101,1.21433,0.64711,1.39054,0.0007525,0.0007525,0.0007525
27,665.141,1.18641,0.85479,1.37539,0.92386,0.90777,0.94481,0.61434,1.22742,0.63021,1.40927,0.0007426,0.0007426,0.0007426
28,689.125,1.18332,0.84255,1.37075,0.92186,0.90438,0.94344,0.62392,1.2085,0.61467,1.38844,0.0007327,0.0007327,0.0007327
29,714.012,1.17076,0.83316,1.36451,0.9234,0.91142,0.94192,0.62707,1.19934,0.61269,1.38682,0.0007228,0.0007228,0.0007228
30,738.836,1.16229,0.82343,1.34705,0.9259,0.91441,0.94448,0.61788,1.21167,0.62496,1.39375,0.0007129,0.0007129,0.0007129
31,763.587,1.1712,0.81982,1.35579,0.9306,0.89746,0.94834,0.63178,1.19301,0.60656,1.37577,0.000703,0.000703,0.000703
32,787.706,1.13354,0.7929,1.34005,0.91492,0.90725,0.94984,0.63327,1.18282,0.58526,1.36787,0.0006931,0.0006931,0.0006931
33,812.539,1.15039,0.80005,1.33746,0.9359,0.90101,0.94721,0.6315,1.18469,0.59411,1.3642,0.0006832,0.0006832,0.0006832
34,836.77,1.13732,0.77734,1.33781,0.92209,0.92395,0.94964,0.63427,1.18135,0.58704,1.36848,0.0006733,0.0006733,0.0006733
35,861.121,1.12783,0.76111,1.32893,0.92827,0.9013,0.94929,0.62806,1.20051,0.60488,1.36815,0.0006634,0.0006634,0.0006634
36,885.676,1.11538,0.76695,1.31362,0.94446,0.90551,0.95358,0.64166,1.16414,0.57493,1.35328,0.0006535,0.0006535,0.0006535
37,910.546,1.11134,0.74741,1.31462,0.94212,0.8996,0.94547,0.63733,1.18723,0.57514,1.36148,0.0006436,0.0006436,0.0006436
38,934.973,1.10638,0.74851,1.31449,0.92447,0.92387,0.94981,0.63959,1.18314,0.56499,1.36171,0.0006337,0.0006337,0.0006337
39,959.246,1.09977,0.74973,1.31753,0.93171,0.90706,0.94756,0.63575,1.16784,0.58301,1.35476,0.0006238,0.0006238,0.0006238
40,983.833,1.09852,0.74469,1.31587,0.93392,0.91461,0.95348,0.64275,1.16358,0.55653,1.35852,0.0006139,0.0006139,0.0006139
41,1008.74,1.07537,0.72016,1.30217,0.92867,0.91744,0.95335,0.64821,1.14781,0.55108,1.33867,0.000604,0.000604,0.000604
42,1032.63,1.08088,0.71992,1.29758,0.92988,0.92546,0.95394,0.64962,1.15973,0.55998,1.34374,0.0005941,0.0005941,0.0005941
43,1057.15,1.08637,0.70859,1.29328,0.93983,0.91421,0.95183,0.65097,1.14754,0.55053,1.34646,0.0005842,0.0005842,0.0005842
44,1081.56,1.06848,0.70764,1.29523,0.94603,0.91834,0.95559,0.65476,1.15598,0.54531,1.34446,0.0005743,0.0005743,0.0005743
45,1106.2,1.069,0.68867,1.29337,0.93796,0.9325,0.95906,0.66144,1.14273,0.53248,1.33187,0.0005644,0.0005644,0.0005644
46,1130.56,1.05674,0.69376,1.28905,0.93663,0.92038,0.95955,0.65939,1.13573,0.53817,1.32819,0.0005545,0.0005545,0.0005545
47,1154.82,1.05623,0.68455,1.28007,0.94181,0.90453,0.95392,0.65738,1.14173,0.53862,1.33253,0.0005446,0.0005446,0.0005446
48,1178.71,1.04877,0.67944,1.26725,0.93454,0.93275,0.95941,0.66126,1.13262,0.52281,1.32513,0.0005347,0.0005347,0.0005347
49,1202.83,1.05389,0.67647,1.27645,0.92972,0.93302,0.96051,0.66317,1.13762,0.52167,1.32746,0.0005248,0.0005248,0.0005248
50,1227.19,1.02406,0.65685,1.26639,0.93544,0.92643,0.95749,0.6592,1.12365,0.52504,1.32534,0.0005149,0.0005149,0.0005149
51,1251.31,1.02607,0.65676,1.26328,0.94085,0.9374,0.9633,0.66793,1.12972,0.50048,1.32614,0.000505,0.000505,0.000505
52,1276.06,1.02658,0.66255,1.26119,0.9309,0.92739,0.95901,0.66609,1.13537,0.51869,1.31894,0.0004951,0.0004951,0.0004951
53,1300.52,1.01524,0.63767,1.25375,0.92971,0.92007,0.95834,0.65683,1.13832,0.51992,1.33269,0.0004852,0.0004852,0.0004852
