epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,901.621,1.08218,0.71293,1.2835,0.92963,0.91665,0.95606,0.64472,1.16568,0.55543,1.32285,0.0005941,0.0005941,0.0005941
43,922.7,1.08193,0.70228,1.27508,0.94168,0.91057,0.95727,0.64737,1.16667,0.55141,1.32725,0.0005842,0.0005842,0.0005842
44,943.832,1.0591,0.69485,1.27155,0.92417,0.89802,0.94723,0.63359,1.19751,0.58431,1.35349,0.0005743,0.0005743,0.0005743
45,964.532,1.06216,0.68646,1.27527,0.92601,0.92369,0.95556,0.64673,1.16506,0.55426,1.34227,0.0005644,0.0005644,0.0005644
46,985.24,1.05452,0.6892,1.27424,0.94937,0.89968,0.95067,0.64317,1.15821,0.57085,1.32515,0.0005545,0.0005545,0.0005545
47,1010.08,1.04788,0.68161,1.25831,0.94822,0.90554,0.95611,0.65467,1.14837,0.54172,1.31865,0.0005446,0.0005446,0.0005446
48,1033.83,1.04256,0.66505,1.25141,0.93897,0.92245,0.95888,0.64855,1.16509,0.55534,1.32823,0.0005347,0.0005347,0.0005347
49,1061.07,1.04924,0.67068,1.26303,0.93359,0.91286,0.95157,0.64785,1.15783,0.54025,1.32035,0.0005248,0.0005248,0.0005248
50,1082.54,1.02037,0.64745,1.24625,0.93622,0.9147,0.95078,0.64491,1.15746,0.54838,1.3184,0.0005149,0.0005149,0.0005149
51,1103.58,1.02868,0.65742,1.24486,0.94419,0.91675,0.95565,0.65223,1.16303,0.53257,1.32196,0.000505,0.000505,0.000505
52,1124.21,1.02085,0.65422,1.24262,0.94045,0.92075,0.95411,0.65825,1.14565,0.52598,1.30776,0.0004951,0.0004951,0.0004951
53,1145.54,1.01466,0.6425,1.24024,0.92735,0.92352,0.95193,0.65261,1.14833,0.53736,1.30898,0.0004852,0.0004852,0.0004852
54,1166.3,1.0126,0.64055,1.22995,0.93547,0.92745,0.95809,0.65708,1.15524,0.52979,1.32034,0.0004753,0.0004753,0.0004753
55,1187.02,1.00259,0.63528,1.23097,0.94447,0.91715,0.95933,0.66019,1.13931,0.52392,1.30035,0.0004654,0.0004654,0.0004654
56,1208.01,0.99672,0.62667,1.22918,0.94258,0.92007,0.9596,0.66199,1.135,0.5197,1.29902,0.0004555,0.0004555,0.0004555
57,1229.43,0.99216,0.61566,1.22344,0.94717,0.9212,0.95951,0.66082,1.13337,0.5194,1.29471,0.0004456,0.0004456,0.0004456
58,1250.13,0.98823,0.62008,1.23011,0.93377,0.92306,0.95379,0.65732,1.13167,0.53547,1.29832,0.0004357,0.0004357,0.0004357
59,1270.87,0.97985,0.61732,1.21654,0.9367,0.92415,0.95696,0.65827,1.12235,0.52143,1.29082,0.0004258,0.0004258,0.0004258
60,1291.49,0.97268,0.61308,1.21818,0.945,0.9262,0.955,0.66193,1.11388,0.51963,1.28501,0.0004159,0.0004159,0.0004159
61,1312.77,0.96841,0.60247,1.21699,0.94208,0.93041,0.95893,0.66834,1.12664,0.51372,1.29662,0.000406,0.000406,0.000406
62,1333.84,0.96992,0.60017,1.21392,0.94391,0.91793,0.95839,0.66734,1.12532,0.49888,1.29317,0.0003961,0.0003961,0.0003961
